name,count
JeremyCorbyn,80
TheresaMay,61
LabourParty,58
Manchesterterrorattack,7
ConservativeParty,35
Labour,29
UKGeneralElections,74
BorisJohnson,7
Londonterrorattack,29
SunSays,9
ToryParty,7
Explainers,39
LeeRigby,9
TubeBombings,7
Jihadi,7
terror,11
Terrorism,13
London,9
UKIP,7
VladimirPutin,7
Russia,14
security,7
Brexit,7
Arsenal,6
Liverpool,7
LondonBridgeAttack,67
BritJihadis,7
YouTube,7
Court,9
Police,10
USA,10
Manchester,7
Islam,6
Animals,10
