name,count
Generalelection,65
Politics,69
UKnews,84
UKsecurityandcounter-terrorism,7
TheresaMay,27
JeremyCorbyn,33
Conservatives,25
Labour,33
Information,6
LiberalDemocrats,7
UKIndependenceparty,8
Ukip,8
London,15
Society,29
Lifeandstyle,7
USnews,26
Worldnews,35
LondonBridgeattack,11
JamesComey,6
DonaldTrump,17
USCongress,6
USpolitics,11
Trumpadministration,9
Books,12
Culture,34
Fiction,6
Iran,6
MiddleEastandNorthAfrica,6
Africa,8
Health,10
Technology,9
Film,8
Sport,13
AsiaPacific,6
Environment,7
Science,6
Comedy,6
Artanddesign,6
Photography,6
