name,count
TheresaMay,205
Generalelection,279
Politics,329
GeneralElectionresults,30
JeremyCorbyn,125
ConservativeParty,211
Brexit,119
LabourParty,197
DemocraticUnionistParty,12
HouseofCommons,32
Hungparliament,53
TheTreasury,12
LiberalDemocrats,79
EUReferendum,12
NickClegg,55
JaneEllison,8
StephenLloyd,12
SarahJones,12
KarenLee,12
ChrisGreen,12
ChrisRuane,12
JohnnyMercer,12
StewartJackson,12
SNP,79
EuropeanUnion,24
NicolaSturgeon,16
MhairiBlack,8
MikeWeir,8
StewartHosie,8
AusterityBritain,20
Referendum,12
SinnFÃ,12
in,12
MichelleO'Neill,8
IanPaisley,8
EnochPowell,8
ArleneFoster,8
PeterAnthonyRobinson,8
JeffreyDonaldson,8
Bedroomtax,12
NorthernIreland,8
ConservativePartyConference,8
Pregnancy,8
Terrorism,16
Climatechange,8
Abortion,8
UKIP,51
TimFarron,20
BorisJohnson,8
DianeAbbott,14
DavidCameron,27
Generalelectionpolls,16
GreenParty,32
DonaldTrump,16
Mentalhealth,16
Tax,20
Foreignaid,8
Minimumwage,8
Tuitionfees,8
Theeconomy,12
Benefits,8
TaxCredits,8
Grammarschools,8
GeorgeOrwell,16
NHS,8
Banks,8
Homelessness,8
EmilyThornberry,12
PaulNuttall,8
BBC,22
TheOneShow,10
DouglasRoss,19
JohnBaron,19
AngusRobertson,19
JeffSessions,8
RoadtoWiganPier,20
