name,count
TheresaMay,224
JeremyCorbyn,180
LabourParty,230
Generalelection,296
Politics,360
ConservativeParty,222
NHS,107
BBC,51
DianeAbbott,27
LynBrown,15
BBCBreakfast,15
EuropeanConventiononHumanRights,8
Terrorism,52
Humanrights,31
Terrorattacks,16
BorisJohnson,64
SteveCoogan,16
JohnMcDonnell,12
AlanPartridge,20
CleanBandit,10
LiberalDemocrats,132
AngelaMerkel,20
VictoriaDerbyshire,16
PiersMorgan,12
JonathanAshworth,12
DavidButler,12
GregKnight,16
DonaldTrump,32
AndrewMitchell,16
SadiqKhan,24
GoodMorningBritain,16
MiddleEast,36
Brexit,118
Minimumwage,28
Carcrashes,16
NickClegg,30
LiveAid,8
NigelFarage,12
BobGeldof,8
TimFarron,56
Referendum,36
NicolaSturgeon,16
PaulNuttall,20
GreenParty,52
UKIP,48
Generalelectionpolls,23
Tax,52
Armedforces,8
Inheritancetax,8
GeorgeOrwell,24
AusterityBritain,24
Bedroomtax,20
Banks,32
Hospitals,28
Soldiers,16
Givingbirth,16
Mentalhealth,52
Crime,24
Nurseries,16
Bullying,16
Disability,16
Homelessness,28
Welfarecuts,24
Nato,8
Climatechange,20
Pensionsstrike,16
Childcare,24
VAT,12
Tuitionfees,20
EuropeanUnion,32
Syria,12
Publicservices,24
Secondaryschool,8
Theeconomy,24
DavidCameron,20
Immigration,8
Education,12
Schools,8
Energybills,8
Foreignaid,12
MI,8
GeorgeOsborne,8
HouseofCommons,7
SNP,23
Benefits,12
TaxCredits,12
Grammarschools,8
Housingbenefit,8
Civilwar,8
Marriage,8
NationalInsuranceCompanyLtd,8
UniversalCredit,8
RoadtoWiganPier,20
PeterKyle,6
JessicaStevenson,6
FrancesBarber,6
DannyBaker,6
JoanRyan,6
GrantMitchell,6
BrianMay,6
RossKemp,6
DannyDeVito,6
EastEnders,6
PeepShow,6
Spaced,6
Soapoperas,6
