name,count
Generalelection,89
Politics,97
UKnews,118
Labour,51
Conservatives,46
LiberalDemocrats,25
UKIndependenceparty,13
Ukip,13
Greenparty,9
ScottishNationalparty,18
SNP,18
Scottishpolitics,9
Welshpolitics,7
NorthernIrishpolitics,7
NorthernIreland,9
Scotland,14
Wales,7
TheresaMay,33
JeremyCorbyn,28
DemocraticUnionistparty,8
DUP,8
EUreferendumandBrexit,13
EuropeanUnion,9
Europe,11
Foreignpolicy,9
Worldnews,31
Hungparliament,8
Youngpeople,8
Society,16
Socialmedia,11
Media,9
Technology,11
Business,10
Spain,6
AsiaPacific,10
USnews,10
MiddleEastandNorthAfrica,6
Health,6
Lifeandstyle,14
Football,6
Sport,12
Artanddesign,10
Culture,33
London,6
Food,6
drink,6
Music,11
Television,10
Stage,6
Books,6
Photography,6
